Title,Year,Rating,Description,Genre
Hollow Man,2000,5.949,"Cocky researcher Sebastian Caine is working on a project to make living creatures invisible. Determined to achieve the ultimate breakthrough, Caine pushes his team to move to the next phase — using himself as the subject. The test is a success, but when the process can't be reversed and Caine seems doomed to future without flesh, he starts to turn increasingly dangerous.","Action, Science Fiction, Thriller"
S.W.A.T.: Under Siege,2017,5.832,"When a D.E.A. and S.W.A.T. cartel takedown ends in a shootout, S.W.A.T. Agent Travis Hall seizes a mysterious prisoner taking him into custody. Before long, the S.W.A.T. compound is under siege by wave-after-wave of assault teams attempting to recover the prisoner known as “The Scorpion” for the tattoo blazed across his back. When Travis discovers that his prisoner is a Secret Ops double agent planted within the cartel, it’s up to him and his expert S.W.A.T. team to keep “The Scorpion” and his billion dollar secrets safe.","Action, Crime, Thriller"
Beneath the Planet of the Apes,1970,6.141,"The sole survivor of an interplanetary rescue mission lands on the planet of the apes, and uncovers a horrible secret beneath the surface.","Adventure, Science Fiction, Mystery"
Sunshine,2007,6.964,"Fifty years into the future, the sun is dying, and Earth is threatened by arctic temperatures. A team of astronauts is sent to revive the Sun — but the mission fails. Seven years later, a new team is sent to finish the mission as mankind’s last hope.","Science Fiction, Thriller"
Naruto the Movie: Ninja Clash in the Land of Snow,2004,7.3,"Naruto is thrilled when he is sent on a mission to protect his favorite actress, Yukie Fujikaze, on the set of her new movie, The Adventures of Princess Gale. But when the crew ventures out to film in the icy, foreboding Land of Snow, Yukie mysteriously flees! Naruto and his squad set off to find her... unaware that three Snow Ninja lie in wait, with a sinister purpose that will force Yukie to face her hidden past!","Comedy, Action, Animation, Adventure"
Teen Wolf,1985,6.2,When a shy teenager's new-found powers help him score at basketball - and with the popular girls - he has some pretty hairy decisions to make.,"Comedy, Fantasy, Romance"
Mira,2022,7.618,"Near future. Lera Arabova is a 15-year-old girl who lives with her family in Vladivostok. Lera's father has been working at the orbiting space station ""Mira"" for many years and has long lost contact with his daughter, turning only into a voice on the phone. After a meteor shower hits the city, Lera has only one chance to save her loved ones and the city from a new disaster. Her father helps her in this - through satellite surveillance systems and the telephone, he uses every opportunity to send a message to his daughter, watching from above from the station her every step.","Science Fiction, Drama, Adventure, Family"
The Finest Hours,2016,6.603,The Coast Guard makes a daring rescue attempt off the coast of Cape Cod after a pair of oil tankers are destroyed during a blizzard in 1952.,"Action, Drama, History, Thriller"
Last Shift,2014,6.257,"Rookie police officer Jessica Loren has been assigned the last shift at a closing police station and must wait for a hazmat crew to collect biomedical evidence. Ordered not to leave the station under any circumstances, Jessica comes to learn that it's more than just an outdated station, it's home to the ultimate embodiment of evil and his devoted bloodthirsty followers. Jessica is left to fend for herself in the Devil's playground.","Horror, Mystery"
Creep,2014,6.384,"Looking for work, Aaron comes across a cryptic online ad: “$1,000 for the day. Filming service. Discretion is appreciated.” Low on cash and full of naiveté, he decides to go for it. He drives to a cabin in a remote mountain town where he meets Josef, his cinematic subject for the day. Josef is sincere and the project seems heartfelt, so Aaron begins to film. But as the day goes on, it becomes clear that Josef is not who he says, and his intentions are not at all pure.","Horror, Thriller"
Unleashed,2005,6.939,"Raised as a slave, Danny is used to fighting for his survival. In fact, his ""master,"" Bart, thinks of him as a pet and goes as far as leashing him with a collar so they can make money in fight clubs, where Danny is the main contender. When Bart's crew is in a car accident, Danny escapes and meets a blind, kindhearted piano tuner who takes him in and uses music to free the fighter's long-buried heart.","Action, Crime"
My Hero Academia: World Heroes' Mission,2021,7.6,"A mysterious group called Humarize strongly believes in the Quirk Singularity Doomsday theory which states that when quirks get mixed further in with future generations, that power will bring forth the end of humanity. In order to save everyone, the Pro-Heroes around the world ask UA Academy heroes-in-training to assist them and form a world-class selected hero team. It’s up to the heroes to save the world and the future of heroes in what is the most dangerous crisis to take place yet in My Hero Academia.","Animation, Action, Adventure, Science Fiction"
All of a Sudden,1996,5.9,"An erotic mystery in which two couples engage in multiple layers of passion, betrayal and murder.","Crime, Drama, Romance"
Creep,2014,6.384,"Looking for work, Aaron comes across a cryptic online ad: “$1,000 for the day. Filming service. Discretion is appreciated.” Low on cash and full of naiveté, he decides to go for it. He drives to a cabin in a remote mountain town where he meets Josef, his cinematic subject for the day. Josef is sincere and the project seems heartfelt, so Aaron begins to film. But as the day goes on, it becomes clear that Josef is not who he says, and his intentions are not at all pure.","Horror, Thriller"
Unleashed,2005,6.939,"Raised as a slave, Danny is used to fighting for his survival. In fact, his ""master,"" Bart, thinks of him as a pet and goes as far as leashing him with a collar so they can make money in fight clubs, where Danny is the main contender. When Bart's crew is in a car accident, Danny escapes and meets a blind, kindhearted piano tuner who takes him in and uses music to free the fighter's long-buried heart.","Action, Crime"
My Hero Academia: World Heroes' Mission,2021,7.6,"A mysterious group called Humarize strongly believes in the Quirk Singularity Doomsday theory which states that when quirks get mixed further in with future generations, that power will bring forth the end of humanity. In order to save everyone, the Pro-Heroes around the world ask UA Academy heroes-in-training to assist them and form a world-class selected hero team. It’s up to the heroes to save the world and the future of heroes in what is the most dangerous crisis to take place yet in My Hero Academia.","Animation, Action, Adventure, Science Fiction"
All of a Sudden,1996,5.9,"An erotic mystery in which two couples engage in multiple layers of passion, betrayal and murder.","Crime, Drama, Romance"
The Poughkeepsie Tapes,2007,6.565,"When hundreds of videotapes showing torture, murder and dismemberment are found in an abandoned house, they reveal a serial killer's decade-long reign of terror and become the most disturbing collection of evidence homicide detectives have ever seen.","Horror, Mystery, Crime, Thriller"
Sorry If I Call You Love,2014,7.5,"A successful, attractive, intelligent and brilliant advertising executive is longing to finally find emotional stability in his life, and decides to propose to his girlfriend. After she refuses his proposal, his life takes a turn when a new young lady enters his life.","Romance, Drama"
Bridget Jones's Baby,2016,6.413,"After breaking up with Mark Darcy five years earlier, Bridget Jones' happily-ever-after hasn't quite gone according to plan. Fortysomething and single again, she decides to focus on her job as top news producer and surround herself with old friends and new. For once, Bridget has everything completely under control. Then her love life takes a turn - while a weekend away at a music festival, she meets a dashing American named Jack, who is everything Mark is not, and spends a night with him. A week later, she runs into newly-separated Mark, and has a one-night dalliance. In an unlikely twist, she finds herself pregnant, but with one hitch - she's not sure of the identity of her baby's father - Mark or Jack.","Drama, Comedy, Romance"
The Hitchhiker's Guide to the Galaxy,2005,6.676,"Mere seconds before the Earth is to be demolished by an alien construction crew, Arthur Dent is swept off the planet by his friend Ford Prefect, a researcher penning a new edition of ""The Hitchhiker's Guide to the Galaxy.""","Adventure, Comedy, Science Fiction"
We Were Soldiers,2002,7.138,The story of the first major battle of the American phase of the Vietnam War and the soldiers on both sides that fought it.,"Action, History, War"
Erotic Ghost Story II,1991,5.0,"Wutung a sex demon returns in another body where he falls for the mortal girl Hsiao-yen, but heaven thinks otherwise with the girl being burned at the stake and her soul being incarnated in the just born Fang Yu-yin. Anger fills Wutung, and to stop this vengeance the town near his lair promise to offer him a virgin girl at the end of every month to become his sex slave. Ya-Yin is selected; however her lover rescues her from the clutches of Wutung. So Wutung sends his demon concubine to get her back, and to cause havoc on the village for the interference.","Horror, Fantasy"
Taxi 5,2018,5.4,"A police officer who's transfered in the police of Marseille gets assigned to take down a group of Italian robbers who drive the powerfull Ferrari's with the older niece of Daniel, a terrible driver who gets the legendary white taxi.","Action, Comedy, Adventure"
Tusk,2014,5.515,"When his best friend and podcast co-host goes missing in the backwoods of Canada, a young guy joins forces with his friend's girlfriend to search for him.","Comedy, Horror"
Jason X,2001,4.9,"In the year 2455, Old Earth is now a contaminated planet abandoned for centuries -- a brown world of violent storms, toxic landmasses and poisonous seas. Yet humans have returned to the deadly place that they once fled, not to live, but to research the ancient, rusting artifacts of the long-gone civilizations. But it's not the harmful environment that could prove fatal to the intrepid, young explorers who have just landed on Old Earth. For them, it's Friday the 13th, and Jason lives!","Horror, Science Fiction"
Miss Congeniality 2: Armed and Fabulous,2005,5.751,"After her triumph at the Miss United States pageant, FBI agent Gracie Hart becomes an overnight sensation -- and the new ""face of the FBI"". But it's time to spring into action again when the pageant's winner, Cheryl, and emcee, Stan, are abducted.","Action, Comedy"
Percy Jackson: Sea of Monsters,2013,6.025,"In their quest to confront the ultimate evil, Percy and his friends battle swarms of mythical creatures to find the mythical Golden Fleece and to stop an ancient evil from rising.","Adventure, Family, Fantasy"
The DUFF,2015,6.767,"Bianca's universe turns upside down when she learns that her high school refers to her as a ‘DUFF' (Designated Ugly Fat Friend). Hoping to erase that label, she enlists the help of a charming jock and her favorite teacher. Together they'll face the school's mean girl and remind everyone that we are all someone's DUFF… and that's totally fine.","Romance, Comedy"
Night Hunter,2019,6.578,A Minnesota police officer crosses paths with a committed and tireless vigilante as he follows the trail of a ruthless predator responsible for several abductions and murders.,"Drama, Thriller"
Fatal Attraction,1987,6.842,A married man's one-night stand comes back to haunt him when that lover begins to stalk him and his family.,"Thriller, Drama, Romance"
Krampus,2015,6.2,"When his dysfunctional family clashes over the holidays, young Max is disillusioned and turns his back on Christmas.  Little does he know, this lack of festive spirit has unleashed the wrath of Krampus: a demonic force of ancient evil intent on punishing non-believers.","Horror, Comedy, Fantasy"
Lock Up,1989,6.817,"Frank Leone is nearing the end of his prison term for a relatively minor crime. Just before he is paroled, however, Warden Drumgoole takes charge. Drumgoole was assigned to a hell-hole prison after his administration was publicly humiliated by Leone, and has now arrived on the scene to ensure that Leone never sees the light of day.","Action, Crime, Drama, Thriller"
Justice League vs. Teen Titans,2016,7.28,Robin is sent by Batman to work with the Teen Titans after his volatile behavior botches up a Justice League mission. The Titans must then step up to face Trigon after he possesses the League and threatens to conquer the world.,"Science Fiction, Action, Animation, Adventure, Comedy, Drama, Fantasy"
Transcendence,2014,6.058,"Two leading computer scientists work toward their goal of Technological Singularity,  as a radical anti-technology organization fights to prevent them from creating a world where computers can transcend the abilities of the human brain.","Thriller, Science Fiction, Drama, Mystery"
Pantasya ni Tami,2024,4.5,"Tami, with the help of her fubu photographer, Ken, sells sexy photos of herself. When she meets her fan, Gelo, who loves her as she is, she is torn whether to leave cosplaying or leave Gelo.","Drama, Romance"
The Cannonball Run,1981,6.1,"A cross-country road race is based on an actual event, the Cannonball Baker Sea to Shining Sea Memorial Trophy Dash, organized by Brock Yates to protest the 55 mph speed limit then in effect in the U.S. The Cannonball was named for Erwin G. ""Cannonball"" Baker, who in the roaring 20's rode his motorcycle across the country. Many of the characters are based on ruses developed by real Cannonball racers over the several years that the event was run.","Action, Comedy, Family"
Don't Breathe 2,2021,7.035,"The Blind Man has been hiding out for several years in an isolated cabin and has taken in and raised a young girl orphaned from a devastating house fire. Their quiet life together is shattered when a group of criminals kidnap the girl, forcing the Blind Man to leave his safe haven to save her.","Thriller, Horror"
No Way Out,1987,6.9,"Navy Lt. Tom Farrell meets a young woman, Susan Atwell , and they share a passionate fling. Farrell then finds out that his superior, Defense Secretary David Brice, is also romantically involved with Atwell. When the young woman turns up dead, Farrell is put in charge of the murder investigation. He begins to uncover shocking clues about the case, but when details of his encounter with Susan surface, he becomes a suspect as well.","Thriller, Drama"
Sucker Punch,2011,6.195,"A young woman, institutionalized by her abusive stepfather, retreats into a vivid fantasy world where she envisions a plan to escape. Gathering a group of fellow inmates, she embarks on a quest to collect five mystical items, blurring the lines between reality and imagination.","Action, Fantasy, Thriller"
The Conversation,1974,7.518,"A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that the couple he is spying on will be murdered.","Crime, Drama, Mystery"
This Is 40,2012,5.892,"Pete and Debbie are both about to turn 40, their kids hate each other, both of their businesses are failing, they're on the verge of losing their house, and their relationship is threatening to fall apart.",Comedy
Friday the 13th Part 2,1981,6.202,"Five years after the horrible bloodbath at Camp Crystal Lake, new counselors roam the area, not sensing the ominous lurking presence that proves that the grisly legend is real.","Horror, Thriller"
Shrek the Halls,2007,6.356,"The Christmas tree isn't the only thing green in this new holiday classic. Shrek is back and trying to get into the spirit of the season. After promising Fiona and the kids a Christmas they'll remember, he is forced to take a crash course in the holiday. But just when he thinks he has everything for their quiet family Christmas just right, there is a knock at the door.","Adventure, Animation, Comedy, Fantasy, Family"
Do Not Enter,2024,6.9,"Two working class youtubers ‘in the making’ enter an abandoned mansion to get their basketball back, and get lost inside while pranking each other. They record their ‘quick adventure’ with their phones for their audience, and tweak it with a fake phantom appearance to attract more followers to their YouTube channel. When uploaded the video goes viral, so they start a challenge: if the video reaches a certain number of views, they will enter the house again, at night, alone, totally unprotected. As fans react positively, they will do as promised, not only to discover and unveil the true nature of the place and their inhabitants, but to realize they might not be among the living anymore. Which opens a question - how far would you go to be famous?",Horror
The Bucket List,2007,7.192,"Corporate billionaire Edward Cole and working class mechanic Carter Chambers are worlds apart. At a crossroads in their lives, they share a hospital room and discover they have two things in common: a desire to spend the time they have left doing everything they ever wanted to do and an unrealized need to come to terms with who they are. Together they embark on the road trip of a lifetime, becoming friends along the way and learning to live life to the fullest, with insight and humor.","Drama, Comedy"
House of Gucci,2021,6.588,"When Patrizia Reggiani, an outsider from humble beginnings, marries into the Gucci family, her unbridled ambition begins to unravel the family legacy and triggers a reckless spiral of betrayal, decadence, revenge, and ultimately… murder.","Drama, Crime, History"
The Texas Chainsaw Massacre 2,1986,5.642,A radio host is victimized by the cannibal family as a former Texas marshal hunts them.,"Horror, Comedy"
Sleeping Dogs,2024,7.0,"Roy Freeman, an ex-homicide detective with a fractured memory, is forced to revisit a case he can't remember. As a man's life hangs in the balance on death row, Freeman must piece together the brutal evidence from a decade-old murder investigation, uncovering a sinister web of buried secrets and betrayals linking to his past. With only instincts to trust, he faces a chilling truth - sometimes, it's best to let sleeping dogs lie.","Mystery, Thriller, Crime, Drama"
When a Stranger Calls,2006,5.735,"Far away from the site of a gruesome murder, a teenager named Jill Johnson arrives at a luxurious home for a baby-sitting job. With the children fast asleep, she settles in for what she expects to be an ordinary evening. Soon, the ringing of a phone and the frightening words of a sadistic caller turn Jill's routine experience into a night of terror.","Horror, Mystery"
Das Boot,1981,8.084,"A German submarine hunts allied ships during the Second World War, but it soon becomes the hunted. The crew tries to survive below the surface, while stretching both the boat and themselves to their limits.","Drama, History, War"
The Third Man,1949,7.915,"In postwar Vienna, Austria, Holly Martins, a writer of pulp Westerns, arrives penniless as a guest of his childhood chum Harry Lime, only to learn he has died. Martins develops a conspiracy theory after learning of a ""third man"" present at the time of Harry's death, running into interference from British officer Major Calloway, and falling head-over-heels for Harry's grief-stricken lover, Anna.","Thriller, Mystery"
Get Hard,2015,6.03,"When obscenely rich hedge-fund manager James is convicted of fraud and sentenced to a stretch in San Quentin, the judge gives him one month to get his affairs in order. Knowing that he won't survive more than a few minutes in prison on his own, James desperately turns to Darnell-- a black businessman who's never even had a parking ticket -- for help. As Darnell puts James through the wringer, both learn that they were wrong about many things, including each other.",Comedy
Reunion Goals: The Beginning,2017,7.036,"Are we dating? Even if I slept with her?  Is it alright for friends to sleep with each other?  Pretending not to know, pretending to know all the flirting going around.  The flirting goes on any time and at any place!  Today with this one, tomorrow with that one and who knows who the day after...","Comedy, Romance"
Real Gangsters,2013,2.8,"Real Gangsters tells the story of the Lo Giacamo family, one of the most successful crime syndicates in New York City. Run by cousins Vincent Lo Giacamo and Jack Lo Giacamo, Real Gangsters shows how these two men maintain control of their dangerous extended family and volatile business ventures by very different means.","Drama, Crime"
Werewolf by Night,2022,6.976,"On a dark and somber night, a secret cabal of monster hunters emerge from the shadows and gather at the foreboding Bloodstone Temple following the death of their leader. In a strange and macabre memorial to the leader’s life, the attendees are thrust into a mysterious and deadly competition for a powerful relic—a hunt that will ultimately bring them face to face with a dangerous monster.","Action, Fantasy, Horror"
"The Wizard of the Emerald City, Part 1",2025,7.4,"Ellie lives in a distant city. One day, the evil witch Gingema conjured a hurricane that took Ellie and her dog Totoshka to the country of the Munchkins. To return home, Ellie and her friends the Scarecrow, the Tin Woodman and the Cowardly Lion will set off along the yellow brick road to the Emerald City in search of the Wizard who will grant their cherished wishes.","Drama, Fantasy"
Monster Hunter,2020,6.55,"A portal transports Cpt. Artemis and an elite unit of soldiers to a strange world where powerful monsters rule with deadly ferocity. Faced with relentless danger, the team encounters a mysterious hunter who may be their only hope to find a way home.","Action, Fantasy, Adventure"
Transformers,2007,6.817,Young teenager Sam Witwicky becomes involved in the ancient struggle between two extraterrestrial factions of transforming robots – the heroic Autobots and the evil Decepticons. Sam holds the clue to unimaginable power and the Decepticons will stop at nothing to retrieve it.,"Adventure, Science Fiction, Action"
Marrowbone,2017,7.277,A young man and his three younger siblings are plagued by a sinister presence in the sprawling manor in which they live.,"Thriller, Horror, Mystery"
Stake Out,2001,8.0,"The fourth chapter in the Love Cinema series, is a story of a cloistered and obsessive character who is confining and closed. When many suicides occur in an apartment building the police are by to question a female resident.",
Taking Chance,2009,7.171,"Lt. Col. Michael Strobl, a volunteer military escort accompanies the body of Lance Cpl. Chance Phelps to his hometown in Wyoming.","Drama, War, TV Movie"
The Jack in the Box Rises,2024,6.6,"When a creepy Jack-in-the-Box is discovered and opened on the grounds of an exclusive girls' school, six brave students soon enter a fight to the finish against the unleashed demon.",Horror
Fear Street: 1994,2021,6.696,"After a series of brutal slayings, a teen and her friends take on an evil force that's plagued their notorious town for centuries.","Horror, Mystery"
Flame of Recca: Final Burning,2004,8.4,A retold ending based on the final few chapters of the Flame of Recca manga series.,"Animation, Action"
Super/Man: The Christopher Reeve Story,2024,8.118,"Christopher Reeve portrayed the Man of Steel in four Superman films and played dozens of other roles that displayed his talent and range as an actor, before being injured in a near-fatal horse-riding accident in 1995 that left him paralyzed from the neck down. After becoming a quadriplegic, he became a charismatic leader and activist in the quest to find a cure for spinal cord injuries, as well as a passionate advocate for disability rights and care.",Documentary
One Piece: The Movie,2000,7.07,"There once was a pirate known as the Great Gold Pirate Woonan, who obtained almost one-third of the world's gold. Over the course of a few years, the pirate's existence faded, and a legend grew that he disappeared with his gold to a remote island, an island pirates continue to search for. Aboard the Going Merry, Luffy and his crew, starved and reckless, are robbed of their treasure. In an attempt to get it back, they wreck the getaway ship, guided by a young boy named Tobio, who's a captured part of El Drago's pirate crew. El Drago's love for gold has driven him to look for Woonan's island, and thanks to Woonan's treasure map, he finds it. During this time, Luffy's crew have been split up, and despite their own circumstances, they must find a way to stop El Drago from obtaining Woonan's gold.","Action, Animation, Adventure, Comedy, Fantasy"
Wild Tales,2014,7.9,"Injustice and the demands of the world can cause stress for many people. Some of them, however, explode. This includes a waitress serving a grouchy loan shark, an altercation between two motorists, an ill-fated wedding reception, and a wealthy businessman who tries to buy his family out of trouble.","Drama, Thriller, Comedy"
A Dog's Journey,2019,8.056,A dog finds the meaning of his own existence through the lives of the humans he meets.,"Family, Adventure, Drama"
Mirage,2018,7.465,"During a mysterious thunderstorm, Vera, a young mother, manages to save a life in danger, but her good deed causes a disturbing chain of unexpected consequences.","Thriller, Drama, Mystery, Fantasy"
The American,2010,5.969,"Dispatched to a small Italian town to await further orders, assassin Jack embarks on a double life that may be more relaxing than is good for him.","Crime, Drama, Thriller"
Attack on Titan,2015,6.131,"100 years ago, titans suddenly appeared on Earth. Soon, human civilization veered on collapse due to the titans. Humans then built a giant wall to defend themselves. Within the giant walls, humans lived in peace, but, 100 years later, the giant wall is broken.","Horror, Action, Science Fiction"
Crimson Peak,2015,6.658,"In the aftermath of a family tragedy, an aspiring author is torn between love for her childhood friend and the temptation of a mysterious outsider. Trying to escape the ghosts of her past, she is swept away to a house that breathes, bleeds… and remembers.","Horror, Mystery, Romance"
Willow,1988,7.01,"The evil Queen Bavmorda hunts the newborn princess Elora Danan, a child prophesied to bring about her downfall. When the royal infant is found by Willow, a timid farmer and aspiring sorcerer, he's entrusted with delivering her from evil.","Fantasy, Adventure, Action"
Moon,2009,7.567,"With only three weeks left in his three-year contract, Sam Bell is getting anxious to finally return to Earth. He is the only occupant of a Moon-based manufacturing facility along with his computer and assistant, GERTY. When he has an accident however, he awakens to find that he is not alone.","Science Fiction, Drama"
47 Meters Down: Uncaged,2019,5.697,"Four teenage girls go on a diving adventure to explore a submerged Mayan city. Once inside, their rush of excitement turns into a jolt of terror as they discover the sunken ruins are a hunting ground for deadly great white sharks. With their air supply steadily dwindling, the friends must navigate the underwater labyrinth of claustrophobic caves and eerie tunnels in search of a way out of their watery hell.","Horror, Thriller"
Possession Street,2024,9.667,"When seven malevolent spirits are unleashed to possess the tenants of a dying mall, it falls to a jaded ex-stuntman, his headstrong daughter and a would-be Daoist priest to stop the undead before they spread onto the streets beyond.","Horror, Drama"
The Strangers,2008,6.125,"After a 4 a.m. knock at the door and haunting voices, Kristen McKay and James Hoyt’s remote getaway becomes a psychological night of terror as three masked strangers invade. Now they must go far beyond what they thought themselves capable of if they hope to survive.","Horror, Mystery, Thriller"
Night Nurse,1979,5.229,"A dentist invites a elderly patient to stay at his home to recover, unaware that he is a jewel thief. He plans to steal a valuable diamond but then runs into a beautiful nurse who, aside from constantly stripping nude, has plans of her own.",Comedy
Princess Protection Program,2009,6.655,"When her nation is invaded, a young princess is taken into the Princess Protection Program. She is relocated to Louisiana, where she stays with a covert agent and his tomboyish daughter, and must learn how to behave like an ordinary teenager.","Family, TV Movie, Comedy"
After Earth,2013,5.185,"One thousand years after cataclysmic events forced humanity's escape from Earth, Nova Prime has become mankind's new home. Legendary General Cypher Raige returns from an extended tour of duty to his estranged family, ready to be a father to his 13-year-old son, Kitai. When an asteroid storm damages Cypher and Kitai's craft, they crash-land on a now unfamiliar and dangerous Earth. As his father lies dying in the cockpit, Kitai must trek across the hostile terrain to recover their rescue beacon. His whole life, Kitai has wanted nothing more than to be a soldier like his father. Today, he gets his chance.","Science Fiction, Action, Adventure"
Children...,2011,7.3,"On March 26, 1991, five boys set off to the mountain to go frog hunting and never come back to their family. While a documentary producer, detective and professor try to solve the mystery of the incident, one of the boys' parents is a suspect.","Crime, Thriller, Drama"
Sonic the Hedgehog 4,2027,0.0,The fourth installment in the Sonic the Hedgehog film franchise. Plot TBA.,"Family, Comedy, Adventure, Science Fiction"
Star Trek IV: The Voyage Home,1986,7.154,"When a huge alien probe enters the galaxy and begins to vaporize Earth's oceans, Kirk and his crew must travel back in time in order to bring back whales and save the planet.","Science Fiction, Adventure"
One Week Friends,2022,5.9,"A high school student suffers from a strange amnesia, causing her memories to only last a week. After she befriends a new student, his kindness and persistence make her gradually open up.",Drama
From Up on Poppy Hill,2011,7.535,"Yokohama, 1963. Japan is picking itself up from the devastation of World War II and preparing to host the 1964 Olympics—and the mood is one of both optimism and conflict as the young generation struggles to throw off the shackles of a troubled past. Against this backdrop of hope and change, a friendship begins to blossom between high school students Umi and Shun—but a buried secret from their past emerges to cast a shadow on the future and pull them apart.","Animation, Drama"
The Edge of Seventeen,2016,7.16,"Two high school girls are best friends until one dates the other's older brother, who is totally his sister's nemesis.","Comedy, Drama"
The Searchers,1956,7.7,"As a Civil War veteran spends years searching for a young niece captured by Indians, his motivation becomes increasingly questionable.",Western
Sri Asih,2022,6.534,"Alana discover the truth about her origin: she’s not an ordinary human being. She may be the gift for humanity and become its protector as Sri Asih. Or a destruction, if she can’t control her anger.","Action, Adventure, Science Fiction, Fantasy"
Vertical Limit,2000,6.013,"Trapped near the summit of K2, the world's second-highest mountain, Annie Garrett radios to base camp for help. Brother Peter hears Annie's message and assembles a team to save her and her group before they succumb to K2's unforgiving elements. But, as Annie lays injured in an icy cavern, the rescuers face several terrifying events that could end the rescue attempt -- and their lives.","Adventure, Action, Thriller"
Rosemary's Baby,1968,7.823,"A young couple, Rosemary and Guy, moves into an infamous New York apartment building, known by frightening legends and mysterious events, with the purpose of starting a family.","Drama, Horror, Thriller"
Bloodrunner Zero,2018,0.0,film by Sade Satô,
Here After,2024,5.388,"When her teen daughter displays increasingly disturbing behavior after a near death experience, a mother becomes convinced the girl brought something evil back from the other side.","Horror, Thriller"
Rio Bravo,1959,7.8,"A small-town sheriff in the American West enlists the help of a disabled man, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy.",Western
A Tale of Two Sisters,2003,7.102,"Two sisters return home after a stay in a mental institution, only to face disturbing events and a strained relationship with their stepmother. As eerie occurrences unfold, dark family secrets begin to surface, blurring the line between reality and nightmare.","Drama, Horror, Mystery"
Poltergeist,1982,7.151,"Upon realizing that something truly evil haunts his home, Steve Freeling calls in a team of parapsychologists to help before it's too late.",Horror
Blue Streak,1999,6.488,"Miles Logan is a jewel thief who just hit the big time by stealing a huge diamond. However, after two years in jail, he comes to find out that he hid the diamond in a police building that was being built at the time of the robbery. In an attempt to regain his diamond, he poses as an LAPD detective.","Action, Comedy, Crime"
Ghost Killer,2025,7.3,"After being possessed by the ghost of vengeful hitman Kudo, college student Fumika Matsuoka agrees to help him finish his quest for revenge from beyond the grave.","Action, Comedy, Fantasy"
Demon Slayer: Kimetsu no Yaiba - Infinity Castle 2,,0.0,Plot TBA. The second installment in the Infinity Castle story arc.,"Animation, Action, Fantasy, Thriller"
Continent,2024,6.0,"After 15 years of living abroad, Amanda returns home with her French boyfriend, Martin. They arrive at her family's large-scale farm, located in a secluded village on the endless plains of southern Brazil. There, Amanda finds her father in a coma in the midst of increasing tension among the workers. The sole doctor in the nearby village is Helô, a young woman who resigns herself to caring for the local townspeople. The imminent death of the farm owner will put Amanda, Martin, and Helô at the heart of a disturbing settlement between the village and the farm owners.","Horror, Drama"
One Piece Film: GOLD,2016,7.224,"The glittering Gran Tesoro, a city of entertainment beyond the laws of the government, is a sanctuary for the world’s most infamous pirates, Marines, and filthy rich millionaires. Drawn by dreams of hitting the jackpot, Captain Luffy and his crew sail straight for the gold. But behind the gilded curtains lies a powerful king whose deep pockets and deeper ambitions spell disaster for the Straw Hats and the New World alike.","Action, Animation, Adventure, Comedy"
The Hurricane Heist,2018,5.693,Thieves attempt a massive heist against the U.S. Treasury as a Category 5 hurricane approaches one of its Mint facilities.,"Action, Adventure, Crime, Thriller"
Mortal Kombat Legends: Battle of the Realms,2021,7.6,"The Earthrealm heroes must journey to the Outworld and fight for the survival of their homeland, invaded by the forces of evil warlord Shao Kahn, in the tournament to end all tournaments: the final Mortal Kombat.","Animation, Action, Fantasy"
Barbershop,2002,6.391,"A day in the life of a barbershop on the south side of Chicago. Calvin, who inherited the struggling business from his deceased father, views the shop as nothing but a burden and waste of his time. After selling the shop to a local loan shark, Calvin slowly begins to see his father's vision and legacy and struggles with the notion that he just sold it out.","Comedy, Drama"
Motherless Brooklyn,2019,6.691,"New York City, 1957. Lionel Essrog, a private detective living with Tourette syndrome, tries to solve the murder of his mentor and best friend, armed only with vague clues and the strength of his obsessive mind.","Drama, Thriller"
A Bridge Too Far,1977,7.2,The story of Operation Market Garden—a failed attempt by the allies in the latter stages of WWII to end the war quickly by securing three bridges in Holland allowing access over the Rhine into Germany. A combination of poor allied intelligence and the presence of two crack German panzer divisions meant that the final part of this operation (the bridge in Arnhem over the Rhine) was doomed to failure.,"Drama, History, War"
Every Day,2018,7.249,"16-year old Rhiannon falls in love with a mysterious spirit named “A” that inhabits a different body every day. Feeling an unmatched connection, Rhiannon and “A” work each day to find each other, not knowing what the next day will bring.","Romance, Fantasy"
The Photographer,2017,7.0,"As the photographer Minho starts shooting in the studio with a new concept, the female model is killed in the accident.  The process takes place accidentally on the camera and the picture is sold at a high price.  Minho, who suddenly touched a great deal of money, is unable to win the remorse of conscience and becomes a prodigal life, devouring all the money he had.  Minhoo, who became a shaggy person, started to take pictures again after killing the model,  and curator Seung Hee, who sold the photographs, finally found Minho's truth and set up a new plan.","Drama, Romance"
Surrogates,2009,6.135,"Set in a futuristic world where humans live in isolation and interact through surrogate robots, a cop is forced to leave his home for the first time in years in order to investigate the murders of others' surrogates.","Science Fiction, Action, Thriller"
